Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
"Iran, Islamic Rep.",Asia,Southern Asia,Southern Asia,1.92E+11,70.00455222,9107000,77.885,75.593,1.5844,83992953,5.594405594,58.91133881,66.60736084,828280,0
Iraq,Asia,Western Asia,Western Asia,1.65E+11,75.00000131,892000,72.652,68.565,0.7079,40222503,26.443769,11.98538017,20.12871933,215690,0
Ireland,Europe,Northern Europe,Northern Europe,3.08E+11,84.52230206,10951000,84.3,80.4,3.3125,4994724,22.5,82.06006622,72.70329285,65090,1
Isle of Man,Europe,Northern Europe,Northern Europe,7111914610,,,81.5,74.6,1.449,85032,,,,,1
Israel,Asia,Western Asia,Western Asia,3.93E+11,86.78787762,4905000,84.7,81,4.6249,9216900,27.5,72.55491638,50.97639847,87830,1
Italy,Europe,Southern Europe,Southern Europe,1.91E+12,74.38718292,95399000,85.4,81.1,3.9774,59554023,35.71428571,74.12349701,55.17591858,399600,1
Jamaica,Americas,Latin America and the Caribbean,Caribbean,13253010658,55.07206705,4233000,76.118,72.868,1.3061,2961161,28.57142857,34.69338989,19.88180923,10020,0
Japan,Asia,Eastern Asia,Eastern Asia,5.25E+12,91.28160849,31882000,87.45,81.41,2.4115,125836021,9.892473118,,,1186770,1
Jordan,Asia,Western Asia,Western Asia,43567236740,66.79031443,5361000,76.306,72.839,2.3237,10203140,11.53846154,37.37089157,31.51004028,35810,0
Kazakhstan,Asia,Central Asia,Central Asia,1.55E+11,81.87762554,8515000,77.3,68.82,3.98,18754440,27.10280374,68.44193268,55.38415146,274220,0
Kenya,Africa,Sub-Saharan Africa,Eastern Africa,97005399322,22.56511937,2049000,69.049,64.313,0.1565,53771300,21.7765043,9.730540276,13.20053005,78830,0
Kiribati,Oceania,Micronesia,Micronesia,350973780.2,14.58181818,12000,72.342,64.248,0.2039,119446,8.888888889,,,110,0
"Korea, Dem. People's Rep.",Asia,Eastern Asia,Eastern Asia,,0,,75.744,68.615,3.6834,25778815,17.61280932,18.05063057,35.22000122,41910,0
"Korea, Rep.",Asia,Eastern Asia,Eastern Asia,1.64E+12,96.15758265,17503000,86.3,80.3,2.3608,51780579,19,84.94790649,105.8117294,718880,1
Kosovo,Europe,Southern Europe,Southern Europe,7798607179,89.44303197,,74.8,70.3,,1775378,,,,,0
Kuwait,Asia,Western Asia,Western Asia,1.54E+11,99.54267645,8565000,76.58,74.76,2.6463,4270563,6.349206349,76.47447968,37.2107811,112970,1
Kyrgyz Republic,Asia,Central Asia,Central Asia,7406338903,38.19903776,8508000,75.8,67.6,2.213,6591600,16.52173913,47.44448853,37.38893127,18120,0
Lao PDR,Asia,South-eastern Asia,South-eastern Asia,18094142644,25.51043508,4791000,69.746,66.142,0.3726,7275556,27.51677852,15.25498009,13.66650963,29270,0
Latvia,Europe,Northern Europe,Northern Europe,33621087276,86.13545644,8342000,79.9,70.8,3.1905,1901548,30,111.8452072,75.43283081,11660,1
Lebanon,Asia,Western Asia,Western Asia,32478246858,78.18077489,1936000,80.869,77.14,2.1038,6825442,4.6875,20.60387039,31.82856941,34350,0
Lesotho,Africa,Sub-Saharan Africa,Southern Africa,2098178810,29.78780333,1142000,57.58,51.201,0.0692,2142252,23.33333333,12.39754963,8.018039703,5850,0
Liberia,Africa,Sub-Saharan Africa,Western Africa,2589500411,7.984479722,,65.497,62.715,0.0376,5057677,12.32876712,9.151920319,14.65242004,9200,0
Libya,Africa,Northern Africa,Northern Africa,26353277728,21.75892062,760000,75.951,70.097,2.0905,6871287,15.95744681,63.63853073,57.49721909,103040,0
Liechtenstein,Europe,Western Europe,Western Europe,7054504551,99.54661245,98099.99847,85.5,80.7,,38137,12,27.59090996,48.83721161,180,1
Lithuania,Europe,Northern Europe,Northern Europe,52738342285,81.58186838,6150000,81,71.5,6.3528,2794700,26.95035461,85.7025528,62.43534088,18840,1
Luxembourg,Europe,Western Europe,Western Europe,45156061646,97.06129871,1041000,84.7,80.3,3.009,632275,30,19.96397972,17.3039608,10220,1
"Macao SAR, China",Asia,Eastern Asia,Eastern Asia,48827470417,86.46792571,39406000,87.179,81.281,1.562,649342,,115.8118362,85.10346985,820.329836,1
Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,13302769993,4.713662899,486000,68.682,65.417,0.1812,27691019,17.8807947,5.214149952,5.487370014,30570,0
Malawi,Africa,Sub-Saharan Africa,Eastern Africa,11770810654,13.78216439,871000,67.413,61.101,0.0358,19129955,22.91666667,0.635389984,1.018350005,18320,0
Malaysia,Asia,South-eastern Asia,South-eastern Asia,3.30E+11,84.21322418,26101000,78.317,74.234,1.5358,32365998,14.86486486,48.74293137,37.71022034,306670,0
Maldives,Asia,Southern Asia,Southern Asia,3759281687,63.18566588,1703000,80.779,77.523,4.5627,540542,4.597701149,59.77832031,16.61779022,2380,0
Mali,Africa,Sub-Saharan Africa,Western Africa,16749289498,12.72064096,217000,60.085,58.529,0.1286,20250834,27.89115646,3.234220028,7.737530231,43740,0
Malta,Europe,Southern Europe,Southern Europe,13329361715,85.77859638,3519000,84.7,80.6,2.8598,525285,13.43283582,68.76969147,50.39825821,2040,1
Marshall Islands,Oceania,Micronesia,Micronesia,292637300,38.70116262,6099.999905,67.8,62.8,0.4233,59194,6.060606061,27.40300941,24.34725952,240,0
Mauritania,Africa,Sub-Saharan Africa,Western Africa,7746329271,20.80096366,30000,66.515,63.305,0.1865,4649660,20.26143791,4.360280037,7.128009796,14080,0
Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,11895691998,63.99989817,1418000,77.56,71.07,2.5331,1265740,20,47.45722961,33.86000824,6740,0
Mexico,Americas,Latin America and the Caribbean,Central America,1.04E+12,70.06991047,97406000,77.879,72.203,2.3827,128932753,48.2,42.30899811,40.74708176,679880,0
"Micronesia, Fed. Sts.",Oceania,Micronesia,Micronesia,463133500,35.30405287,18000,69.596,66.232,0.177,115021,0,20.96681976,23.84087944,270,0
Moldova,Europe,Eastern Europe,Eastern Europe,12386780905,76.12451989,174000,76.157,67.624,3.2066,2617820,24.75247525,45.18466187,33.52642059,13180,0
Monaco,Europe,Western Europe,Western Europe,,97.05297684,363000,,,7.5067,39244,33.33333333,,,,0
Mongolia,Asia,Eastern Asia,Eastern Asia,11870689059,51.07999408,637000,74.142,65.799,2.8592,3278292,17.33333333,76.65812683,54.68325043,52620,0
Montenegro,Europe,Southern Europe,Southern Europe,4848798063,73.47666575,2510000,79.303,74.441,2.7557,621718,22.22222222,62.40800095,46.58414078,3800,0
Morocco,Africa,Northern Africa,Northern Africa,1.11E+11,74.37631447,13109000,77.895,75.423,0.7308,36910558,20.50632911,39.05136108,38.06085968,94290,0
Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,13558723676,20.7740003,2033000,63.671,57.782,0.0838,31255435,42.4,6.533639908,8.108229637,35040,0
Myanmar,Asia,South-eastern Asia,South-eastern Asia,73922116986,23.62108195,4364000,70.119,64.046,0.677,54409794,16.82539683,21.98386955,15.63253021,119650,0
Namibia,Africa,Sub-Saharan Africa,Southern Africa,10518846493,36.83740647,1651000,66.516,60.685,0.4182,2540916,43.26923077,30.2642498,15.31023026,11930,0
Nauru,Oceania,Micronesia,Micronesia,174152481.8,62.38512451,,,,1.3462,10834,10.52631579,,,80,1
Nepal,Asia,Southern Asia,Southern Asia,34053537649,21.40351043,1197000,72.208,69.259,0.7486,29136808,32.72727273,13.68988037,12.94217968,51240,0
